deposit-v1,2018-01-23,2018-01-22 17:08:04.036+0000,{},,,True
payroll-v1,2018-01-23,2018-01-22 17:09:10.431+0000,{},,,True
portfolio-v1,2018-01-23,2018-01-22 17:06:49.961+0000,{},,,True
teller-v1,2018-01-23,2018-01-22 17:08:21.598+0000,{},,,True
identity-v1,2018-01-23,2018-01-22 17:05:02.233+0000,{\"useridentifier\":\"antony\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:03.667+0000,"{\"instance\":{\"identifier\":\"scheduler\",\"permissions\":[{\"permittableEndpointGroupIdentifier\":\"identity__v1__app_self\",\"allowedOperations\":[\"CHANGE\"]},{\"permittableEndpointGroupIdentifier\":\"portfolio__v1__khepri\",\"allowedOperations\":[\"CHANGE\"]}]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:04.333+0000,"{\"identifier\":\"imhotep\",\"role\":\"scheduler\"}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:04.391+0000,{\"useridentifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:04.497+0000,{\"identifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:10.750+0000,"{\"applicationIdentifier\":\"rhythm-v1\",\"keyTimestamp\":\"2018-01-22T17_04_36\",\"signature\":{\"publicKeyMod\":26606721967853985180592333186914452843230791142760424539334474120208474160492909634747324001942707590507777914403321977128267682990625241359762430926520207011450415442499536258978484965969928924642810604657691239596728051365142536043945514855562322443477117319822583010088089072200849832671836293789602451758407721154292632701652234946940175609390023066082487851800121699388322651700342430104060895489137993410136548851304137837200994400356985896349391997133324839394975114465749464287820398644953334735650281728680443049367496753316711772675094362367987314382769483781206068939094573558005075216725896726696776261471,\"publicKeyExp\":65537}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:10.873+0000,"{\"applicationIdentifer\":\"rhythm-v1\",\"permission\":{\"permittableEndpointGroupIdentifier\":\"identity__v1__app_self\",\"allowedOperations\":[\"CHANGE\"]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:10.902+0000,"{\"applicationIdentifier\":\"rhythm-v1\",\"callEndpointSet\":{\"identifier\":\"rhythm__v1__identity__v1\",\"permittableEndpointGroupIdentifiers\":[\"identity__v1__app_self\"]}}",,,True
identity-v1,2018-01-23,2018-01-22 17:05:12.517+0000,{\"useridentifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:12.616+0000,{\"identifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:12.625+0000,{\"useridentifier\":\"imhotep\"},,,True
identity-v1,2018-01-23,2018-01-22 17:05:12.771+0000,"{\"applicationIdentifier\":\"rhythm-v1\",\"permittableGroupIdentifier\":\"identity__v1__app_self\",\"userIdentifier\":\"imhotep\",\"enabled\":true}",,,True
